,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
188397,2223,T1,2022-08-26,Gaziantep,Antalyaspor,5.0,2.0,H,1.0,2.0,A,13.0,10.0,8.0,5.0,13.0,8.0,3.0,4.0,3.0,3.0,0.0,0.0,2.57,3.41,2.9
188481,2223,T1,2022-08-27,Karagumruk,Ankaragucu,4.0,1.0,H,2.0,0.0,H,13.0,10.0,9.0,4.0,9.0,13.0,0.0,7.0,2.0,3.0,0.0,0.0,1.91,3.95,3.97
188482,2223,T1,2022-08-27,Ad. Demirspor,Umraniyespor,1.0,0.0,H,1.0,0.0,H,15.0,15.0,4.0,2.0,9.0,12.0,4.0,1.0,2.0,2.0,0.0,0.0,1.56,4.37,6.28
188483,2223,T1,2022-08-27,Alanyaspor,Istanbulspor,0.0,1.0,A,0.0,0.0,D,14.0,10.0,3.0,5.0,12.0,15.0,9.0,1.0,3.0,4.0,0.0,1.0,1.49,4.79,6.6
188546,2223,T1,2022-08-28,Trabzonspor,Galatasaray,0.0,0.0,D,0.0,0.0,D,10.0,13.0,3.0,4.0,18.0,16.0,2.0,5.0,3.0,2.0,0.0,0.0,2.47,3.32,3.11
188549,2223,T1,2022-08-28,Kayserispor,Giresunspor,3.0,0.0,H,1.0,0.0,H,15.0,11.0,3.0,6.0,6.0,13.0,3.0,7.0,1.0,2.0,0.0,0.0,2.2,3.48,3.49
188550,2223,T1,2022-08-28,Kasimpasa,Hatayspor,1.0,0.0,H,1.0,0.0,H,12.0,11.0,6.0,3.0,14.0,12.0,5.0,4.0,3.0,1.0,0.0,0.0,2.05,3.75,3.64
188577,2223,T1,2022-08-29,Konyaspor,Fenerbahce,1.0,0.0,H,0.0,0.0,D,6.0,8.0,4.0,2.0,8.0,4.0,4.0,2.0,4.0,0.0,1.0,1.0,3.42,3.75,2.1
188579,2223,T1,2022-08-29,Besiktas,Sivasspor,3.0,1.0,H,3.0,0.0,H,18.0,6.0,10.0,3.0,13.0,15.0,5.0,4.0,0.0,2.0,0.0,0.0,1.53,4.51,6.17
188670,2223,T1,2022-09-02,Umraniyespor,Trabzonspor,0.0,1.0,A,0.0,0.0,D,7.0,23.0,2.0,7.0,10.0,12.0,7.0,5.0,0.0,3.0,0.0,0.0,4.02,3.73,1.95
188712,2223,T1,2022-09-03,Buyuksehyr,Alanyaspor,2.0,0.0,H,1.0,0.0,H,10.0,8.0,3.0,1.0,8.0,18.0,3.0,8.0,1.0,3.0,0.0,0.0,1.98,3.74,3.89
188773,2223,T1,2022-09-03,Giresunspor,Konyaspor,0.0,1.0,A,0.0,0.0,D,10.0,18.0,3.0,4.0,11.0,16.0,7.0,8.0,3.0,0.0,0.0,0.0,2.69,3.32,2.82
188774,2223,T1,2022-09-03,Fenerbahce,Kayserispor,2.0,0.0,H,1.0,0.0,H,17.0,5.0,4.0,2.0,19.0,15.0,3.0,1.0,2.0,2.0,0.0,0.0,1.43,5.31,7.01
188775,2223,T1,2022-09-03,Sivasspor,Karagumruk,0.0,0.0,D,0.0,0.0,D,7.0,12.0,3.0,3.0,7.0,13.0,11.0,6.0,2.0,2.0,1.0,0.0,2.3,3.42,3.32
